회사ID,15_매출액,16_매출액,17_매출액,18_매출액,19_매출액,15_총급여,16_총급여,17_총급여,18_총급여,19_총급여,최대_직원수
60766,,,,572717.0,,,,,182830222.2222222,,11
60926,,,,1717540.0,,,,,269668000.00000006,,4
60969,,,,963499.0,,,,,313616888.8888889,,7
61287,,,,798680.0,,,,,166887111.1111111,,6
61480,,,,370759.0,,,,,343125777.77777785,,6
61654,,,,3468261.0,,,,,289757777.77777785,,6
62273,,,,4707900.0,,,,,334291555.5555556,,6
62301,,,,8814973.0,,,,,295257333.3333334,,6
63005,2966837.0,,,,,34800000.0,,,,,4
63025,,,,2310921.0,,,,,338660000.0,,6
63129,,,,1858206.0,,,,,197503111.11111113,,8
63250,,,,8307609.0,,,,,398890666.6666666,,6
63461,,,,2838833.0,,,,,263560888.88888893,,5
63805,,,,397135.0,,,,,312707111.11111116,,6
64071,,,,886488.0,,,,,279533333.3333333,,8
64324,,,,55403958.0,,,,,332872888.88888896,,5
64817,,,,979781.0,,,,,307637333.3333333,,10
65699,,,,1299713.0,,,,,128338666.66666666,,5
65866,,,,374795.0,,,,,68100000.0,,5
66658,,,,534800.0,,,,,203175555.5555556,,6
67140,,,,416652.0,,,,,163418666.6666667,,6
67616,,,,69883610.0,,,,,348085333.3333334,,5
68282,,,,148646.0,,,,,63600000.0,,5
68780,,,,6077285.0,,,,,365069333.3333334,,5
68788,,,,2093577.0,,,,,435846666.6666667,,12
68826,,,,245634.0,,,,,114000000.0,,5
68848,,,,20084433.0,,,,,304853333.3333333,,6
68883,,,,1159905.0,,,,,93914666.66666666,,5
69173,,,,345715.0,,,,,187600000.0,,6
69941,,,,147730.0,,,,,147450666.66666666,,4
70483,,,,748076.0,,,,,158400000.0,,5
71256,,,,5889329.0,,,,,204677333.3333333,,5
71512,,,,379368.0,,,,,103197777.77777778,,3
72034,,,,2208013.0,,,,,361208888.88888896,,6
72074,,,,797670.0,,,,,353600000.0,,13
72107,,,,813957.0,,,,,148638222.22222224,,5
72219,,,,2187320.0,,,,,283500000.0,,8
72289,,,,1851191.0,,,,,126067999.99999999,,5
72557,,,,8627594.0,,,,,228153333.33333334,,5
72734,,,,354001.0,,,,,184904000.0,,5
73475,,,,1448257.0,,,,,385579111.11111116,,6
73944,,,,1238806.0,,,,,229251555.55555555,,8
73989,,,,6393747.0,,,,,167210666.6666667,,6
75141,,,,7602475.0,,,,,223937777.7777778,,5
75548,,,,592722.0,,,,,252713777.77777782,,7
75828,,,,1603827.0,,,,,346654666.66666675,,5
75886,,,,136697.0,,,,,161520000.0,,7
76026,,,,88702.0,,,,,132000000.0,,5
76472,,,,460000.0,,,,,120448000.0,,6
76489,,,,2105780.0,,,,,176856444.44444445,,6
76581,,,,3568552.0,,,,,359080000.0,,6
76771,,,,314746.0,,,,,292232000.00000006,,5
76810,,,,8854646.0,,,,,386364888.8888889,,7
77014,,,,1097068.0,,,,,249618666.6666667,,5
77047,,,,408873.0,,,,,64251555.55555556,,5
77679,,,,501100.0,,,,,246266666.6666667,,5
77854,,,,1542548.0,,,,,130059555.55555554,,4
78065,,,,975336.0,,,,,156008000.0,,6
78226,,,,3431354.0,,,,,291525333.3333334,,11
78784,,,,3351753.0,,,,,282088444.4444444,,6
78837,,,,887816.0,,,,,246724000.0,,5
78994,,,,3807803.0,,,,,127114222.22222221,,5
79653,,,,2473420.0,,,,,234215111.11111113,,8
80676,,,,1666400.0,,,,,272506666.66666675,,4
80910,,,,1116715.0,,,,,166346666.66666666,,5
80941,,,,1180498.0,,,,,187701333.33333337,,4
81619,,,,507.0,,,,,258920000.0,,6
83413,,,,556146.0,,,,,157200000.0,,7
84194,,,,470101.0,,,,,124928000.0,,4
84432,,,,6328969.0,,,,,297501333.3333333,,4
84570,,,,9900073.0,,,,,124161333.33333333,,5
85020,,,,359904.0,,,,,184242666.6666667,,6
85294,,,,2103379.0,,,,,196485333.3333333,,3
85904,,,,1567126.0,,,,,179400000.0,,4
86473,,,,231191.0,,,,,170600000.0,,4
86899,,,,338977.0,,,,,136520000.0,,4
87343,,,,973704.0,,,,,36201333.333333336,,4
87526,,,,368677.0,,,,,260514666.66666666,,4
87558,,,,3389610.0,,,,,197440000.0,,5
88104,,,,148232.0,,,,,145400000.0,,6
88580,,,,15834296.0,,,,,219968888.88888893,,4
88709,,,,532848.0,,,,,167593333.33333337,,4
89734,,,,927906.0,,,,,117168000.0,,4
90238,,,,149465.0,,,,,206514666.6666667,,6
90760,,,,9085449.0,,,,,148533333.3333333,,4
90842,,,,96258.0,,,,,188367111.1111111,,4
90926,,,,2320468.0,,,,,229957333.3333333,,4
91144,,,,911082.0,,,,,244214666.66666672,,6
91311,,,,580926.0,,,,,279416000.00000006,,4
91600,,,,1128440.0,,,,,212395555.55555558,,3
91938,,,,281357.0,,,,,109477333.33333333,,4
92171,,,,542974.0,,,,,62722222.222222224,,3
92336,,,,419751.0,,,,,175634222.22222224,,4
93088,,,,866679.0,,,,,125354666.66666666,,4
93112,,,,279511.0,,,,,85600000.0,,4
93160,,,,563479.0,,,,,177034666.66666666,,4
93162,,,,438850.0,,,,,227659555.55555558,,6
93267,,,,445508.0,,,,,283920444.4444445,,10
93300,,,,11847422.0,,,,,151240000.0,,4
93486,,,,2920358.0,,,,,365818666.6666667,,4
93492,,,,1753999.0,,,,,103520000.0,,4
93848,,,,474469.0,,,,,243310222.2222222,,4
94416,,,,1223066.0,,,,,184050666.66666666,,4
94554,,,,1995259.0,,,,,158821777.7777778,,4
94559,,,,1041182.0,,,,,230482666.6666667,,4
94602,,,,7907858.0,,,,,183146666.66666666,,4
94620,,,,308252.0,,,,,274232000.00000006,,5
94819,,,,168968.0,,,,,209981333.3333334,,4
94885,,,,3408062.0,,,,,373857333.33333343,,4
95042,,,,1296452.0,,,,,160020000.0,,4
95346,,,,7873587.0,,,,,305109333.3333333,,4
95383,,,,205170.0,,,,,117597333.33333333,,4
95582,,,,1312423.0,,,,,165414666.6666667,,4
95612,,,,1294117.0,,,,,108784000.0,,4
95737,,,,1207411.0,,,,,200358666.66666672,,5
95942,,,,564286.0,,,,,235424888.88888893,,4
96128,,,,687212.0,,,,,16600000.0,,3
96183,,,,1245643.0,,,,,126690666.66666664,,5
99338,,,,1504905.0,,,,,200112444.44444445,,4
99916,,,,557281.0,,,,,44416000.0,,3
101365,,,,2047762.0,,,,,99531555.55555555,,4
101711,,,,49945076.0,,,,,132948000.0,,4
101742,,,,50356.0,,,,,48824000.0,,3
101833,,,,320104.0,,,,,217350666.66666666,,6
101956,,,,514658.0,,,,,163600000.0,,3
102321,,,,1073064.0,,,,,146000000.0,,4
102546,,,,937826.0,,,,,124786666.66666667,,6
102709,,,,752869.0,,,,,144297333.3333333,,3
102876,,,,745821.0,,,,,216392000.00000003,,3
102971,,,,62943421.0,,,,,184779555.55555558,,3
103331,,,,550499.0,,,,,61954666.666666664,,3
103433,,,,700288.0,,,,,72500000.0,,3
103963,,,,4727726.0,,,,,201610666.6666667,,4
104394,,,,3362853.0,,,,,124966666.66666666,,4
105360,,,,198976.0,,,,,6155555.555555556,,3
105519,,,,303739.0,,,,,48000000.0,,3
106346,,,,1346186.0,,,,,338939111.11111116,,5
106413,,,,265576.0,,,,,22066666.666666668,,4
106590,,,,1152709.0,,,,,245733333.3333334,,3
106930,,,,390359.0,,,,,79474666.66666666,,4
108287,,,,253366.0,,,,,173936888.8888889,,5
108773,,,,3200.0,,,,,176242222.22222224,,4
108977,,,,123262.0,,,,,317521333.3333334,,9
109592,,,,17452058.0,,,,,199384444.44444445,,4
109716,,,,1791903.0,,,,,166376000.0,,3
109742,,,,477486.0,,,,,152733333.3333333,,3
110330,,,,361065.0,,,,,171160000.0,,7
110677,,,,502693.0,,,,,53073777.77777777,,3
110977,,,,160536.0,,,,,226077333.33333334,,3
111360,,,,733777.0,,,,,88032888.88888888,,4
111983,,,,458871.0,,,,,40800000.0,,3
112123,,,,435032.0,,,,,123600000.0,,4
112428,,,,3695153.0,,,,,65923555.55555555,,3
112555,,,,1944475.0,,,,,159872000.0,,4
112691,,,,4496478.0,,,,,66384000.0,,4
112892,,,,1071380.0,,,,,73399555.55555555,,3
113263,,,,626543.0,,,,,373184000.0,,7
113485,,,,5132870.0,,,,,140997333.33333334,,5
113758,,,,292931.0,,,,,78807111.11111112,,4
114176,,,,1300420.0,,,,,133245333.33333333,,4
114233,,,,14826200.0,,,,,217320000.0,,8
114619,,,,4411074.0,,,,,95623999.99999999,,3
115380,,,,282351.0,,,,,140253333.3333333,,4
115389,,,,342183.0,,,,,191548888.8888889,,4
115606,,,,986144.0,,,,,65580444.44444444,,4
116135,,,,1403471.0,,,,,314094222.2222222,,14
116624,,,,1188812.0,,,,,101766666.66666666,,4
117569,,,,9128555.0,,,,,72017777.77777778,,3
118048,,,,1414118.0,,,,,95200000.0,,5
118488,,,,5553667.0,,,,,120672000.0,,4
119331,,,,1642003.0,,,,,123200000.0,,3
120769,,,,2688227.0,,,,,107800000.0,,3
120803,,,,179000.0,,,,,132185777.77777778,,7
121744,,,,1628551.0,,,,,140717777.7777778,,4
121823,,,,1261716.0,,,,,100568000.0,,3
121860,,,,424407.0,,,,,112740000.0,,3
